,id,popularity,release_date,title,vote_average,vote_count
5828,852046,1.7678,2022-09-09,Athena,6.6,811
5829,586461,2.194,2020-01-15,Swallow,6.594,825
5830,11676,1.8583,1997-07-18,Nothing to Lose,6.594,672
5831,10503,0.8034,2008-04-18,Happy-Go-Lucky,6.6,496
5832,417859,7.7241,2011-10-27,Puss in Boots,6.593,4460
5833,348877,0.1565,1972-07-15,Return,6.593,416
5834,345009,11.8449,2016-10-06,Mine,6.593,1334
5835,20714,0.9428,2007-06-06,12,6.593,412
5836,9950,1.3931,2006-03-16,Find Me Guilty,6.593,531
5837,667,5.8487,1967-06-13,You Only Live Twice,6.592,2417
5838,12924,1.4963,2004-11-20,The Place Promised in Our Early Days,6.6,545
5839,12151,1.1128,1986-06-26,Ruthless People,6.592,436
5840,10449,1.419,1994-04-29,When a Man Loves a Woman,6.592,375
5841,9346,13.0555,1983-08-05,Risky Business,6.59,1423
5842,512,2.6282,2006-07-27,Scoop,6.6,1714
5843,683340,8.1176,2022-07-29,Vengeance,6.591,446
5844,80389,4.6365,2012-03-15,Get the Gringo,6.591,1746
5845,70981,15.5941,2012-05-30,Prometheus,6.591,13074
5846,13090,1.2406,2008-01-18,Sunshine Cleaning,6.591,826
5847,9944,2.3107,1993-09-17,The Pelican Brief,6.591,1725
5848,4958,1.3605,2000-11-02,The Legend of Bagger Vance,6.6,968
5849,1100782,6.4284,2024-10-16,Smile 2,6.591,2016
5850,136795,3.5274,2013-06-27,The Heat,6.59,4122
5851,39145,1.733,1987-07-18,Dragon Ball: Sleeping Princess in Devil's Castle,6.59,304
5852,11247,3.9493,2004-07-16,A Cinderella Story,6.59,3347
5853,1894,8.8168,2002-05-15,Star Wars: Episode II - Attack of the Clones,6.589,14134
5854,706503,0.8071,2020-06-19,Lost Bullet,6.584,915
5855,554241,1.5472,2019-11-08,Playing with Fire,6.588,748
5856,411638,0.6504,2016-09-09,The Fury of a Patient Man,6.588,453
5857,329996,4.2984,2019-03-27,Dumbo,6.588,4492
5858,20539,14.2219,1996-11-27,The Crucible,6.588,544
5859,816,7.614,1997-05-02,Austin Powers: International Man of Mystery,6.588,3710
5860,22586,2.1617,1994-11-18,The Swan Princess,6.587,990
5861,19898,5.4349,2009-09-08,Pandorum,6.587,2586
5862,11012,2.2621,1992-12-02,Damage,6.587,657
5863,621749,1.6051,2020-01-30,Nimic,6.586,304
5864,270303,5.6624,2015-02-04,It Follows,6.586,6813
5865,109428,11.2927,2013-04-05,Evil Dead,6.586,4927
5866,413658,1.3199,2016-11-18,The Warriors Gate,6.6,365
5867,50837,1.4436,2011-10-21,Martha Marcy May Marlene,6.585,802
5868,50456,2.9067,2011-04-07,Hanna,6.585,3602
5869,18126,3.9101,2009-04-10,Hannah Montana: The Movie,6.6,2082
5870,9595,4.6682,1991-07-31,Hot Shots!,6.585,2381
5871,7518,7.0434,2006-05-17,Over the Hedge,6.585,4754
5872,577,1.8986,1995-09-22,To Die For,6.6,861
5873,800158,12.1407,2023-10-25,The Killer,6.584,2710
5874,706503,0.8071,2020-06-19,Lost Bullet,6.584,915
5875,80274,3.768,2013-10-24,Ender's Game,6.584,6151
5876,68817,4.7935,2011-10-06,Footloose,6.584,1704
5877,13704,1.0326,1988-07-06,License to Drive,6.584,395
5878,10894,1.4139,2003-04-11,May,6.6,693
5879,10539,3.1896,1996-04-12,James and the Giant Peach,6.584,1412
5880,8005,3.1505,1993-07-28,Robin Hood: Men in Tights,6.584,2227
5881,6972,2.8727,2008-11-18,Australia,6.584,2415
5882,487476,2.4255,2018-10-17,Nothing to Hide,6.583,1414
5883,250124,1.4118,2015-08-07,The Diary of a Teenage Girl,6.583,779
5884,4105,4.3966,1989-09-22,Black Rain,6.6,1200
5885,1082195,5.1878,2024-12-05,The Order,6.582,828
5886,629017,2.1325,2021-06-17,Run Hide Fight,6.582,348
5887,454467,2.1633,2019-11-12,Noelle,6.582,734
5888,5879,8.5547,1976-09-15,In the Realm of the Senses,6.582,711
5889,1070514,1.4886,2023-08-03,Zom 100: Bucket List of the Dead,6.581,606
5890,848058,3.3016,2022-10-07,Piggy,6.581,684
5891,727293,2.1142,2021-12-17,The Tender Bar,6.581,597
5892,716594,1.0444,2021-08-19,No Man of God,6.6,321
5893,448119,6.9523,2020-01-02,Dolittle,6.581,3830
5894,11412,4.79,1996-10-11,The Long Kiss Goodnight,6.581,1315
5895,11298,12.1128,1981-01-21,The Howling,6.581,867
5896,9399,4.2103,1990-06-07,Lionheart,6.581,1124
5897,1198870,0.2793,,Return,6.58,443
5898,405177,2.0999,2019-08-16,"Where'd You Go, Bernadette",6.58,717
5899,340101,4.9894,2017-02-19,Their Finest,6.58,436
5900,25319,2.6603,1964-06-24,The Masque of the Red Death,6.6,355
5901,19405,1.387,2001-02-16,Recess: School's Out,6.6,364
5902,16538,2.0245,2009-03-20,"I Love You, Man",6.58,1890
5903,12690,5.3708,2008-09-19,Appaloosa,6.58,1066
5904,11430,5.8115,2004-10-28,The Lion King 1½,6.58,3107
5905,11281,4.1947,1981-10-30,Halloween II,6.58,2207
5906,468362,4.6185,2018-05-15,The Angel,6.579,324
5907,10909,1.419,1993-06-24,Kalifornia,6.579,849
5908,10414,2.5481,1992-10-02,The Mighty Ducks,6.6,954
5909,1063879,1.8852,2023-12-27,Infested,6.578,558
5910,732670,0.8494,2020-11-17,LEGO Star Wars Holiday Special,6.6,359
5911,601666,9.6263,2021-02-19,I Care a Lot,6.578,2921
5912,10409,1.3497,1992-08-20,Strictly Ballroom,6.578,370
5913,9342,8.8635,1998-07-16,The Mask of Zorro,6.578,4267
5914,630392,2.1509,2021-07-28,The Cursed,6.577,407
5915,492719,3.1748,2018-05-18,Godzilla: City on the Edge of Battle,6.577,392
5916,480857,1.5605,2020-03-11,Radioactive,6.577,899
5917,467936,4.7722,2018-08-01,The Children Act,6.577,643
5918,246860,3.6146,2014-08-20,Clouds of Sils Maria,6.6,797
5919,19277,1.9705,2003-11-24,In Hell,6.577,598
5920,19277,1.9705,2003-11-24,In Hell,6.577,598
5921,15655,1.7994,2000-02-11,The Tigger Movie,6.577,602
5922,13161,4.6813,2007-11-03,Big Stan,6.577,999
5923,11183,1.383,1978-11-11,French Fried Vacation,6.577,932
